designation,source_id,ra,dec,parallax,pmra,pmdec,ruwe,phot_g_mean_mag,bp_rp,radial_velocity,phot_variable_flag,non_single_star,has_xp_continuous,has_xp_sampled,has_rvs,has_epoch_photometry,has_epoch_rv,has_mcmc_gspphot,has_mcmc_msc,teff_gspphot,logg_gspphot,mh_gspphot,distance_gspphot,azero_gspphot,ag_gspphot,ebpminrp_gspphot
Gaia DR3 4472835914801592320,4472835914801592320,269.4121279722107,4.758678849621426,0.4079355242258936,-5.882669184416831,-10.775432101852047,1.0581967,17.46474,1.0535183,,NOT_AVAILABLE,0,true,false,false,false,false,true,true,4986.2896,4.7671,-1.3011,1355.3292,0.0298,0.0239,0.0129
Gaia DR3 4472836116661127424,4472836116661127424,269.4033794852369,4.77292090553683,0.2687677568432123,-1.1071022130368888,-6.043737087591673,0.90437305,19.081146,1.0198727,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
Gaia DR3 4472836116661128192,4472836116661128192,269.407394035786,4.77245046821936,-3.5785323035673775,-7.655324414714915,-14.208925003128098,1.6601082,19.67321,1.2864017,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
Gaia DR3 4472836116661129856,4472836116661129856,269.4056470904566,4.773426909095505,0.34230983681109534,-0.5406846482846579,-4.129633314860783,1.0023646,18.722948,1.1496086,,NOT_AVAILABLE,0,false,false,false,false,false,true,false,4725.1084,4.8729,-1.714,1748.274,0.0131,0.0103,0.0056
Gaia DR3 4472836116661144960,4472836116661144960,269.41053730178794,4.77650033993056,0.18589466853807485,-1.7573673289574623,-10.234308604239306,1.0102463,18.924892,1.2856941,,NOT_AVAILABLE,0,false,false,false,false,false,true,false,4497.5947,4.863,-1.4034,1665.0104,0.0072,0.0055,0.003
Gaia DR3 4472836116668211328,4472836116668211328,269.39980814360877,4.773023524067048,-0.7990710479972599,-5.906847427698059,-9.812458095066832,0.95449334,20.56945,1.0886345,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
Gaia DR3 4472836116668214272,4472836116668214272,269.40006994534764,4.7707982607127395,,,,,20.92142,1.2232513,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
Gaia DR3 4472836116668229504,4472836116668229504,269.40184575176715,4.766370053180284,-0.2265823766317969,-7.178210786856401,0.36463705879831226,0.9904871,20.772068,1.2419281,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
Gaia DR3 4472836116668248064,4472836116668248064,269.4041732254659,4.7719497000107625,0.439486073705751,-0.7666730922428857,-5.5915460613175245,1.1986163,20.163712,1.3689804,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
Gaia DR3 4472836116668279040,4472836116668279040,269.4081749270836,4.772703773239144,-0.9677949909474538,-3.0920992390186646,-1.0619039993526214,1.0486848,20.409561,0.8599682,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
Gaia DR3 4472836116668280704,4472836116668280704,269.40836765497124,4.773605849640775,0.9085433872617756,0.3170436185112924,-5.482855272956301,1.1174927,20.47819,1.4992676,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
Gaia DR3 4472836120957249792,4472836120957249792,269.4075501446561,4.7722580527987635,,,,,19.894508,,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
Gaia DR3 4472836120960025984,4472836120960025984,269.40570215220185,4.777706270811575,0.7762407029117636,-4.092159864496211,-6.405268028883887,1.0207616,19.142033,1.7808304,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
Gaia DR3 4472836120961944576,4472836120961944576,269.4092707091854,4.765207080418915,0.3464116615589201,-2.2554381406209054,-8.082474518376513,0.9451231,19.681862,1.0914059,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
Gaia DR3 4472836151020865536,4472836151020865536,269.41747546589204,4.772743686923158,0.02313611920441226,-7.357716873497216,-11.379468648571873,1.0807782,18.60892,1.1526642,,NOT_AVAILABLE,0,false,false,false,false,false,true,false,4647.439,4.8893,-1.7636,1497.4023,0.0389,0.0303,0.0164
Gaia DR3 4472836151020892544,4472836151020892544,269.42638888844044,4.778530413249017,0.4847097574696303,-10.746550433532239,-0.06873200640990763,1.0948386,18.642406,0.88308907,,NOT_AVAILABLE,0,false,false,false,false,false,true,false,5404.235,4.7717,-3.3094,2839.0742,0.0144,0.0119,0.0066
Gaia DR3 4472836151020904320,4472836151020904320,269.4205598734863,4.780961094054598,0.5152713598565162,1.379289868311892,-3.108503742575047,1.102089,18.886847,1.3533497,,NOT_AVAILABLE,0,false,false,false,false,false,true,false,4371.0464,4.7761,-2.4597,1408.5592,0.0132,0.01,0.0054
Gaia DR3 4472836151020914304,4472836151020914304,269.41811363871767,4.783019793529983,1.9154218446623175,0.780965134867255,-8.78043092168053,0.98161936,19.313135,3.1244678,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
Gaia DR3 4472836151020914432,4472836151020914432,269.41329319423653,4.782788192460209,1.4320486601347275,2.0290201670774795,-10.528277611915804,1.5300864,20.159319,2.1327343,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
Gaia DR3 4472836151020915712,4472836151020915712,269.4216904131002,4.783165412920395,0.02676239027626602,-0.14080248234769122,-5.851926526121127,1.2300446,18.921507,1.4480877,,NOT_AVAILABLE,0,false,false,false,false,false,true,false,4075.587,4.9997,-1.5198,879.4917,0.0157,0.0116,0.0062
Gaia DR3 4472836151020924032,4472836151020924032,269.41703091000204,4.784319293608142,0.13547946692385782,-0.5021195947680134,-5.591845560209134,1.0595542,18.65496,1.239008,,NOT_AVAILABLE,0,false,false,false,false,false,true,false,4506.104,4.8601,-1.323,1525.7097,0.0035,0.0027,0.0015
Gaia DR3 4472836151021963520,4472836151021963520,269.4181345280915,4.7812358422402585,-1.5926742401329645,-1.4270111835806154,-3.878807299037619,1.0492623,20.48734,1.1517849,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
Gaia DR3 4472836151028036096,4472836151028036096,269.41057677718055,4.780760433980054,0.8763629009931246,-1.3962301558086438,3.1535869718859857,0.9587872,20.487633,1.146944,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
Gaia DR3 4472836151028043136,4472836151028043136,269.4114046557745,4.781330852862626,-0.28915510180584747,-6.568305973368912,-3.202749275103344,0.8520971,20.719028,1.573225,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
Gaia DR3 4472836151028055808,4472836151028055808,269.4130021075678,4.780529847866042,0.512174714251485,-2.0328981235038666,-0.40472255634589693,1.036316,20.580538,1.9804592,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
Gaia DR3 4472836151028087808,4472836151028087808,269.4169598374669,4.775494642699576,3.6268231698639735,11.209394834075942,-11.71245619596591,1.0296681,20.719723,1.0745697,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
Gaia DR3 4472836151028107904,4472836151028107904,269.4191777604752,4.783415727452671,0.3854632565352596,-7.819577223626011,-20.39210303427688,1.0158492,20.366877,2.0986767,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
Gaia DR3 4472836151028115328,4472836151028115328,269.42016804565975,4.779970337452439,1.325155166485562,0.6961876697059038,-8.857563377938671,0.99230844,20.396692,2.0958824,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
Gaia DR3 4472836151028174336,4472836151028174336,269.42742810158705,4.780385594987268,1.0051227575734933,-5.2111141914691474,-6.851362152269453,0.8608322,20.726255,1.2348175,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
Gaia DR3 4472836155316986752,4472836155316986752,269.41857247363146,4.78510392070155,,,,,20.871601,0.74723816,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
Gaia DR3 4472836155316989056,4472836155316989056,269.41305002710317,4.782878918538262,,,,,20.797293,,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
